"table.x","first_id","desc","category","label","format","year"
"ACTPROF","ID","Identifiant du module indépendant",NA,NA,"Categorical",1998
"ACTPROF","IDENT","Identifiant du ménage",NA,NA,"Categorical",1998
"ACTPROF","IDPROD-3","Identifiant du produit (actif professionnel)",NA,NA,"Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",51,"Terrains à bâtir viabilisés, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",52,"Terres labourables ou prairies, non exploitées par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",53,"Vignes ou vergers, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",54,"Forêts, bois, peupleraies, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",55,"Autres terrains non bâtis (landes, maquis), non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",56,"Autres terrains bâtis, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",61,"Terrains à bâtir viabilisés, exploités, détenus en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",62,"Terres labourables ou prairies, exploitées, détenues en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",63,"Vignes ou vergers, exploités, détenus en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",64,"Forêts, bois, peupleraies, exploités, détenus en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",65,"Autres terrains non bâtis (landes, maquis), exploités, détenus en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",66,"Autres terrains bâtis, exploités, détenus en totalité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",71,"Bâtiments, locaux, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",73,"Stocks, cheptel, non exploités par le ménage","Categorical",1998
