"Harmonized_name","1986","1992","1998","2004","2010","2014","2017","2020","Topic","Notes"
"NPIECES","N/A","N/A","N/A","N/A","NPIECES","NPIECES","NPIECES","To be filled","Housing",NA
"SURFACE","N/A","LOG105","LOGSUR","RESSUR","SURFACE","SURFACE","SURFACE","To be filled","Housing",NA
"SURFTR","N/A","N/A","N/A","N/A","SURFTR","SURFTR","SURFTR","To be filled","Housing",NA
"RESTYP","IM2","LOG103","LOGTYP","RESTYP","RESTYP","RESTYP","RESTYP","To be filled","Housing",NA
"RESHLM","IM4","LOG102","LOGTYP2","RESHLM","RESHLM","RESHLM","RESHLM","To be filled","Housing",NA
"RESAGE","N/A","N/A","LOGAGE","RESAGE","RESAGE","RESAGE","RESAGE","To be filled","Housing",NA
"EMMENAG","IM1","LOG101","LOGAN","N/A","EMMENAG","EMMENAG","EMMENAG","To be filled","Housing",NA
"STOC","IM4","LOG102","LOG102","LOGOC","STOC","STOC","STOC","To be filled","Housing",NA
"STOCP","N/A","N/A","RESTIE","RESTIER","STOCP","STOCP","STOCP","To be filled","Housing",NA
"LES","N/A","N/A","N/A","N/A","LES","LES","LES","To be filled","Housing",NA
"PROPRI","N/A","N/A","N/A","N/A","PROPRI","PROPRI","PROPRI","To be filled","Housing",NA
"STOCPRO","N/A","N/A","N/A","N/A","STOCPRO","STOCPRO","STOCPRO","To be filled","Housing",NA
"STOCPP","N/A","N/A","N/A","N/A","N/A","STOCPP","STOCPP","To be filled","Housing",NA
"GMTSTOC","N/A","N/A","N/A","N/A","N/A","GMTSTOC","GMTSTOC","To be filled","Housing",NA
"LOYER","N/A","N/A","LOYER","N/A","LOYER","LOYER","LOYER","To be filled","Housing",NA
"RESACCES","N/A","N/A","N/A","N/A","RESACCES","RESACCES","RESACCES","To be filled","Housing",NA
"RESACH","IM11","LOG209","RESACH","RESACH","N/A","RESACH","RESACH","To be filled","Housing",NA
"RESAN","IM12","LOG210","RESAN","N/A","RESAN","RESAN","RESAN","To be filled","Housing",NA
"RESAPO","IM20","LOG213","RESAPO","N/A","RESAPO","RESAPO","RESAPO","To be filled","Housing",NA
"RESORAPO","IM26","LOG202, LOG203x","N/A","N/A","N/A","RESORAPO","RESORAPO","To be filled","Housing",NA
"RESPRIACH","N/A","N/A","N/A","N/A","N/A","RESPRIACH","RESPRIACH","To be filled","Housing",NA
"MONTMIN_CORR","IM10","LOG107","RESMIN","MONTMIN","MONTMIN_CORR","MONTMIN_CORR","MONTMIN_CORR","To be filled","Housing",NA
"MONTMAX_CORR","IM10","LOG108","RESMAX","MONTMAX","MONTMAX_CORR","MONTMAX_CORR","MONTMAX_CORR","To be filled","Housing",NA
"PARPR","N/A","N/A","RESPR","PARPR","PARPR","PARPR","PARPR","To be filled","Housing",NA
"PARCJ","N/A","N/A","RESCJ","PARCJ","PARCJ","PARCJ","PARCJ","To be filled","Housing",NA
"PARAUT","N/A","N/A","RESAUT","PARAUT","PARAUT","PARAUT","PARAUT","To be filled","Housing",NA
"PARHM","N/A","N/A","RESHM","PARHM","PARHM","PARHM","PARHM","To be filled","Housing",NA
"DETNAT","N/A","N/A","N/A","N/A","DETNAT","DETNAT","DETNAT","To be filled","Housing",NA
"ETABA14","N/A","N/A","QUI4","ETABDET","ETABA","ETABA14","ETABA14","To be filled","Housing",NA
"COUTAN","N/A","N/A","REMBx","COUTAN","COUTAN","COUTAN","COUTAN","To be filled","Housing",NA
"MONTCLA_CORR","N/A","N/A","MI","MONTCLA_CORR","MONTCLA_CORR","MONTCLA_CORR","MONTCLA_CORR","To be filled","Housing",NA
"KDU","N/A","N/A","KDU","KDU","KDU","KDU","KDU","To be filled","Housing",NA
"ANNEE","N/A","N/A","DATEA, DATEM","ANNEE","ANNEE","ANNEE","ANNEE","To be filled","Housing",NA
"DETMOD","N/A","N/A","RENEGO","N/A","DETMOD","DETMOD","DETMOD","To be filled","Housing",NA
"DETMODA","N/A","N/A","N/A","N/A","DETMODA","DETMODA","DETMODA","To be filled","Housing",NA
"DUREMP","N/A","N/A","DUREA","DUREMP","DUREMP","DUREMP","DUREMP","To be filled","Housing",NA
"DETTXNA","N/A","N/A","TAUXFIX","N/A","DETTXNA","DETTXNA","DETTXNA","To be filled","Housing",NA
"DETTX","N/A","N/A","TAUX","DETTX","DETTX","DETTX","DETTX","To be filled","Housing",NA
"DETGAR","N/A","N/A","N/A","N/A","DETGAR","DETGAR","DETGAR","To be filled","Housing",NA
"DETGARIM","N/A","N/A","N/A","N/A","N/A","DETGARIM","DETGARIM","To be filled","Housing",NA
"GDETREMRP_E","N/A","N/A","N/A","N/A","GDETREMRP_E","GDETREMRP_E","GDETREMRP_E","To be filled","Housing",NA
"RETARDRP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGAL","N/A","N/A","LOGAL","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGALCO","N/A","N/A","LOGALCO","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGALMT","N/A","N/A","LOGALMT","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGAR","N/A","LOG114","LOGAR","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGARMIN","N/A","N/A","LOGARMIN","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGARMAX","N/A","N/A","LOGARMAX","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOGUT","N/A","N/A","LOGUT","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"RESRAC","IM30","LOG216","RESRAC","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"RESDEP","IM37","LOG219","RESDEP","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"RESDEP1x","IM38, IM39, IM40, IM41, IM42, IM43","LOG220a, LOG220b, LOG220c, LOG220d, LOG220e, LOG220f","RESDEP1x","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOG104a, LOG104b","N/A","LOG104a, LOG104b","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOG106a, LOG106b, LOG106c, LOG106d, LOG106e","N/A","LOG106a, LOG106b, LOG106c, LOG106d, LOG106e","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOG109","N/A","LOG109","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOG110","N/A","LOG110","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"LOG111","N/A","LOG111","N/A","N/A","N/A","N/A","N/A","To be filled","Housing",NA
"JEACTIF","N/A","Ax11, Ax201, Ax31, Ax41","N/A","JEACTIF","JEACTIF","JEACTIF","JEACTIF","To be filled","Professional background",NA
"JAGEACT","N/A","N/A","N/A","JAGEACT","JAGEACT","JAGEACT","JAGEACT","To be filled","Professional background",NA
"CYDEBx","act15, act16, act29","Ay204, Ay38, Ay68","DEBACTx","CYDEBx","CYDEBx","CYDEBx","CYDEBx","To be filled","Professional background",NA
"CYACTx","ACT1, ACT2, ACT3, ACT4, ACT5, ACT6","Ay12, Ay202, Ay34, Ay44","STATACTx","CYACTx","CYACTx","CYACTx","CYACTx","To be filled","Professional background",NA
"CYCAUSx","N/A","Ax52a, Ax52b, Ax52c, Ax52d","CAUSACTx","CYCAUSx","CYCAUSx","CYCAUSx","CYCAUSx","To be filled","Professional background",NA
"CYTPTOx","N/A","N/A","CYAR42","CYTPTOx","CYTPTOx","CYTPTOx","CYTPTOx","To be filled","Professional background",NA
"DUREE","ACT47, ACT48","Ax65","N/A","DUREE","DUREE","DUREE","DUREE","To be filled","Professional background",NA
"CYDER","N/A","Ay68","CYAR3A, CYAR3B","CYDER","CYDER","CYDER","CYDER","To be filled","Professional background",NA
"DURCHO","N/A","N/A","N/A","DURCHO","DURCHO","DURCHO","DURCHO","To be filled","Professional background",NA
"TROUV","N/A","N/A","N/A","N/A","N/A","N/A","TROUV","To be filled","Professional background",NA
"PERD","N/A","N/A","N/A","N/A","N/A","N/A","PERD","To be filled","Professional background",NA
"RETRAI","N/A","N/A","N/A","N/A","N/A","N/A","RETRAI","To be filled","Professional background",NA
"CYSUBJ","N/A","N/A","CYAR5","CYSUBJ","CYSUBJ","CYSUBJ","N/A","To be filled","Professional background",NA
"CJVEUF","N/A","N/A","N/A","AVERTCJ","CJVEUF","CJVEUF","N/A","To be filled","Professional background",NA
"CJACTx","N/A","N/A","N/A","CJACTx","CJACTx","CJACTx","N/A","To be filled","Professional background",NA
"CJACTz","N/A","N/A","N/A","N/A","CJACTz","CJACTz","N/A","To be filled","Professional background",NA
"CJDEBz","N/A","N/A","N/A","N/A","CJDEBz","CJDEBz","N/A","To be filled","Professional background",NA
"CJFINz","N/A","N/A","N/A","N/A","CJFINz","CJFINz","N/A","To be filled","Professional background",NA
