"","table.x","first_id","desc","category","label","format","year","ISCED_number","ISCED_label","ISCED_desc"
"821","ENFHORS","HODIP","Diplôme le plus élevé ou équivalent de l'enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"822","ENFHORS","HODIP","Diplôme le plus élevé ou équivalent de l'enfant hors domicile",3,"Baccalauréat","Categorical",1998,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"823","ENFHORS","HODIP","Diplôme le plus élevé ou équivalent de l'enfant hors domicile",4,"Bac+2 (DEUG, BTS, DUT...)","Categorical",1998,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"824","ENFHORS","HODIP","Diplôme le plus élevé ou équivalent de l'enfant hors domicile",5,"Supérieur à Bac+2","Categorical",1998,"640, 650","Bachelor's or equivalent level, or more.",NA
"1212","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",2,"Certificat d'Etudes primaires (CEP), diplôme de fin d'études obligatoires (DFEO)","Categorical",1998,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"1213","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",15,"Brevet d'études du 1er cycle (BEPC), brevet des collèges","Categorical",1998,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"1214","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",16,"Baccalauréat 1ère partie ou probatoire, certificat de fin d'études secondaires (CFES)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1215","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",17,"Baccalauréat nouvelles séries L, ES, S, baccalauréat séries A à E ou baccalauréat 2ème partie","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1216","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",18,"Brevet élémentaire (BE), brevet d'enseignement primaire supérieur (BEPS)","Categorical",1998,"343","Upper secondary education, General, Level completion, without direct access to tertiary education",NA
"1217","INDIVIDU","DIEG","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire)",19,"Brevet supérieur (BS)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1219","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",21,"Certificat d'éducation professionnelle","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1220","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA, examen de fin d'apprentissage artisanal (EFAA)","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1221","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",25,"CAP (ou CAPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1222","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",27,"BEP (ou BEPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1223","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",29,"Autres diplômes de niveau CAP ou BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1224","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",32,"Brevet de technicien (BT ou BTA) ou baccalauréat de technicien (STI, STL, SMS, STT ou F, G, H)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1225","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",34,"Baccalauréat professionnel","Categorical",1998,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1226","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",36,"Autre diplôme de niveau du baccalauréat de technicien","Categorical",1998,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1227","INDIVIDU","DIEP","Diplôme le plus élévé obtenu en enseignement technique ou professionnel",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES), brevet d'agent technique agricole.","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1229","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",41,"Diplôme universitaire du 1er cycle (sauf DUT) : propédeutique, DUEL, DUES, DEUG, PCEM...","Categorical",1998,"540","Short-cycle tertiary education, General, Not further defined",NA
"1230","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur)","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1231","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale, d'arts appliqués","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1232","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",44,"Diplôme des professions de la santé (hors celle de médecin) et des professions sociales","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
