,1986,1992,1998,2004,2010,2014,2017,Topic
NPIECES,N/A,N/A,N/A,N/A,NPIECES,NPIECES,NPIECES,Housing
SURFACE,N/A,LOG105,LOGSUR,RESSUR,SURFACE,SURFACE,SURFACE,Housing
SURFTR,N/A,N/A,N/A,N/A,SURFTR,SURFTR,SURFTR,Housing
RESTYP,IM2,LOG103,LOGTYP,RESTYP,RESTYP,RESTYP,RESTYP,Housing
RESHLM,IM4,LOG102,LOGTYP2,RESHLM,RESHLM,RESHLM,RESHLM,Housing
RESAGE,N/A,N/A,LOGAGE,RESAGE,RESAGE,RESAGE,RESAGE,Housing
EMMENAG,IM1,LOG101,LOGAN,N/A,EMMENAG,EMMENAG,EMMENAG,Housing
STOC,IM4,LOG102,LOG102,LOGOC,STOC,STOC,STOC,Housing
STOCP,N/A,N/A,RESTIE,RESTIER,STOCP,STOCP,STOCP,Housing
LES,N/A,N/A,N/A,N/A,LES,LES,LES,Housing
PROPRI,N/A,N/A,N/A,N/A,PROPRI,PROPRI,PROPRI,Housing
STOCPRO,N/A,N/A,N/A,N/A,STOCPRO,STOCPRO,STOCPRO,Housing
STOCPP,N/A,N/A,N/A,N/A,N/A,STOCPP,STOCPP,Housing
GMTSTOC,N/A,N/A,N/A,N/A,N/A,GMTSTOC,GMTSTOC,Housing
LOYER,N/A,N/A,LOYER,N/A,LOYER,LOYER,LOYER,Housing
RESACCES,N/A,N/A,N/A,N/A,RESACCES,RESACCES,RESACCES,Housing
RESACH,IM11,LOG209,RESACH,RESACH,N/A,RESACH,RESACH,Housing
RESAN,IM12,LOG210,RESAN,N/A,RESAN,RESAN,RESAN,Housing
RESAPO,IM20,LOG213,RESAPO,N/A,RESAPO,RESAPO,RESAPO,Housing
RESORAPO,IM26,"LOG202, LOG203x",N/A,N/A,N/A,RESORAPO,RESORAPO,Housing
RESPRIACH,N/A,N/A,N/A,N/A,N/A,RESPRIACH,RESPRIACH,Housing
MONTMIN_CORR,IM10,LOG107,RESMIN,MONTMIN,MONTMIN_CORR,MONTMIN_CORR,MONTMIN_CORR,Housing
MONTMAX_CORR,IM10,LOG108,RESMAX,MONTMAX,MONTMAX_CORR,MONTMAX_CORR,MONTMAX_CORR,Housing
PARPR,N/A,N/A,RESPR,PARPR,PARPR,PARPR,PARPR,Housing
PARCJ,N/A,N/A,RESCJ,PARCJ,PARCJ,PARCJ,PARCJ,Housing
PARAUT,N/A,N/A,RESAUT,PARAUT,PARAUT,PARAUT,PARAUT,Housing
PARHM,N/A,N/A,RESHM,PARHM,PARHM,PARHM,PARHM,Housing
DETNAT,N/A,N/A,N/A,N/A,DETNAT,DETNAT,DETNAT,Housing
ETABA14,N/A,N/A,QUI4,ETABDET,ETABA,ETABA14,ETABA14,Housing
COUTAN,N/A,N/A,REMBx,COUTAN,COUTAN,COUTAN,COUTAN,Housing
MONTCLA_CORR,N/A,N/A,MI,MONTCLA_CORR,MONTCLA_CORR,MONTCLA_CORR,MONTCLA_CORR,Housing
KDU,N/A,N/A,KDU,KDU,KDU,KDU,KDU,Housing
ANNEE,N/A,N/A,"DATEA, DATEM",ANNEE,ANNEE,ANNEE,ANNEE,Housing
DETMOD,N/A,N/A,RENEGO,N/A,DETMOD,DETMOD,DETMOD,Housing
DETMODA,N/A,N/A,N/A,N/A,DETMODA,DETMODA,DETMODA,Housing
DUREMP,N/A,N/A,DUREA,DUREMP,DUREMP,DUREMP,DUREMP,Housing
DETTXNA,N/A,N/A,TAUXFIX,N/A,DETTXNA,DETTXNA,DETTXNA,Housing
DETTX,N/A,N/A,TAUX,DETTX,DETTX,DETTX,DETTX,Housing
DETGAR,N/A,N/A,N/A,N/A,DETGAR,DETGAR,DETGAR,Housing
DETGARIM,N/A,N/A,N/A,N/A,N/A,DETGARIM,DETGARIM,Housing
GDETREMRP_E,N/A,N/A,N/A,N/A,GDETREMRP_E,GDETREMRP_E,GDETREMRP_E,Housing
RETARDRP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Housing
LOGAL,N/A,N/A,LOGAL,N/A,N/A,N/A,N/A,Housing
LOGALCO,N/A,N/A,LOGALCO,N/A,N/A,N/A,N/A,Housing
LOGALMT,N/A,N/A,LOGALMT,N/A,N/A,N/A,N/A,Housing
LOGAR,N/A,LOG114,LOGAR,N/A,N/A,N/A,N/A,Housing
LOGARMIN,N/A,N/A,LOGARMIN,N/A,N/A,N/A,N/A,Housing
LOGARMAX,N/A,N/A,LOGARMAX,N/A,N/A,N/A,N/A,Housing
LOGUT,N/A,N/A,LOGUT,N/A,N/A,N/A,N/A,Housing
RESRAC,IM30,LOG216,RESRAC,N/A,N/A,N/A,N/A,Housing
RESDEP,IM37,LOG219,RESDEP,N/A,N/A,N/A,N/A,Housing
RESDEP1x,"IM38, IM39, IM40, IM41, IM42, IM43","LOG220a, LOG220b, LOG220c, LOG220d, LOG220e, LOG220f",RESDEP1x,N/A,N/A,N/A,N/A,Housing
"LOG104a, LOG104b",N/A,"LOG104a, LOG104b",N/A,N/A,N/A,N/A,N/A,Housing
"LOG106a, LOG106b, LOG106c, LOG106d, LOG106e",N/A,"LOG106a, LOG106b, LOG106c, LOG106d, LOG106e",N/A,N/A,N/A,N/A,N/A,Housing
LOG109,N/A,LOG109,N/A,N/A,N/A,N/A,N/A,Housing
LOG110,N/A,LOG110,N/A,N/A,N/A,N/A,N/A,Housing
LOG111,N/A,LOG111,N/A,N/A,N/A,N/A,N/A,Housing
JEACTIF,N/A,"Ax11, Ax201, Ax31, Ax41",N/A,JEACTIF,JEACTIF,JEACTIF,JEACTIF,Professional background
JAGEACT,N/A,N/A,N/A,JAGEACT,JAGEACT,JAGEACT,JAGEACT,Professional background
CYDEBx,"act15, act16, act29","Ay204, Ay38, Ay68",DEBACTx,CYDEBx,CYDEBx,CYDEBx,CYDEBx,Professional background
CYACTx,"ACT1, ACT2, ACT3, ACT4, ACT5, ACT6","Ay12, Ay202, Ay34, Ay44",STATACTx,CYACTx,CYACTx,CYACTx,CYACTx,Professional background
CYCAUSx,N/A,"Ax52a, Ax52b, Ax52c, Ax52d",CAUSACTx,CYCAUSx,CYCAUSx,CYCAUSx,CYCAUSx,Professional background
CYTPTOx,N/A,N/A,CYAR42,CYTPTOx,CYTPTOx,CYTPTOx,CYTPTOx,Professional background
DUREE,"ACT47, ACT48",Ax65,N/A,DUREE,DUREE,DUREE,DUREE,Professional background
CYDER,N/A,Ay68,"CYAR3A, CYAR3B",CYDER,CYDER,CYDER,CYDER,Professional background
DURCHO,N/A,N/A,N/A,DURCHO,DURCHO,DURCHO,DURCHO,Professional background
TROUV,N/A,N/A,N/A,N/A,N/A,N/A,TROUV,Professional background
PERD,N/A,N/A,N/A,N/A,N/A,N/A,PERD,Professional background
RETRAI,N/A,N/A,N/A,N/A,N/A,N/A,RETRAI,Professional background
CYSUBJ,N/A,N/A,CYAR5,CYSUBJ,CYSUBJ,CYSUBJ,N/A,Professional background
CJVEUF,N/A,N/A,N/A,AVERTCJ,CJVEUF,CJVEUF,N/A,Professional background
CJACTx,N/A,N/A,N/A,CJACTx,CJACTx,CJACTx,N/A,Professional background
CJACTz,N/A,N/A,N/A,N/A,CJACTz,CJACTz,N/A,Professional background
CJDEBz,N/A,N/A,N/A,N/A,CJDEBz,CJDEBz,N/A,Professional background
CJFINz,N/A,N/A,N/A,N/A,CJFINz,CJFINz,N/A,Professional background
AUTRACx,N/A,N/A,AUTRACx,N/A,N/A,N/A,N/A,Professional background
CYAR2,N/A,"Ay63, Ay64, Ay61",CYAR2,N/A,N/A,N/A,N/A,Professional background
CYAR4,N/A,N/A,CYAR4,N/A,N/A,N/A,N/A,Professional background
CYAR41,N/A,Ay66,CYAR41,N/A,N/A,N/A,N/A,Professional background
Ax13,"ACT9, ACT10",Ax13,N/A,N/A,N/A,N/A,N/A,Professional background
Ax14,"ACT11, ACT12",Ax14,N/A,N/A,N/A,N/A,N/A,Professional background
Ax15,"ACT13, ACT14",Ax15,N/A,N/A,N/A,N/A,N/A,Professional background
Ax16,N/A,Ax16,N/A,N/A,N/A,N/A,N/A,Professional background
Ax203,N/A,Ax203,N/A,N/A,N/A,N/A,N/A,Professional background
