"first_id","year","table.x","desc","desc_en"
"ID",1998,"ACTPROF","Identifiant du module indépendant","Independent module identifier"
"IDENT",1998,"ACTPROF","Identifiant du ménage","Household ID"
"IDPROD-3",1998,"ACTPROF","Identifiant du produit (actif professionnel)","Product identifier (professional asset)"
"NATPROF",1998,"ACTPROF","Nature de l'actif professionnel","Nature of professional assets"
"NPOIDS",1998,"ACTPROF","Pondération unitaire","Unit weighting"
"NXLOC",1998,"ACTPROF","Actif professionnel non exploité donné en location au moins en partie","Non-exploited professional asset rented out at least in part"
"NXTIE",1998,"ACTPROF","Propriétaires hors ménage des actifs professionnels non exploités","Non-household owners of unused professional assets"
"POND",1998,"ACTPROF","Pondération extrapolée","Extrapolated weighting"
"PROFAU",1998,"ACTPROF","Part du montant de l'actif professionnel revenant aux autres personnes du ménage","Share of the amount of professional assets accruing to other people in the household"
"PROFCJ",1998,"ACTPROF","Part du montant de l'actif professionnel revenant au conjoint","Share of the amount of professional assets going to the spouse"
"PROFHM",1998,"ACTPROF","Part du montant de l'actif professionnel revenant aux personnes hors ménage","Share of the amount of professional assets accruing to persons outside the household"
"PROFMAX",1998,"ACTPROF","Valeur maximale des actifs professionnels (déclarée)","Maximum value of professional assets (declared)"
"PROFMIN",1998,"ACTPROF","Valeur minimale des actifs professionnels (déclarée)","Minimum value of professional assets (declared)"
"PROFPR",1998,"ACTPROF","Part du montant de l'actif professionnel revenant à la personne de référence","Share of the amount of professional assets accruing to the reference person"
"PROFSUHA",1998,"ACTPROF","Surface en hectares des terres","Surface area in hectares of land"
"SIMPROF",1998,"ACTPROF","Valeur simulée du bien professionnel, total","Simulated value of professional property, total"
"SIMPROFM",1998,"ACTPROF","Valeur simulée du bien professionnel, part du ménage","Simulated value of professional property, household share"
"TERDEP",1998,"ACTPROF","Localisation des terres exploitées par le ménage : département","Location of land used by the household: department"
"AUTRAC1",1998,"CYACT","Autre activité exercée après la 1ère période","Other activity carried out after the 1st period"
"AUTRAC10",1998,"CYACT","Autre activité exercée après la 10ème période","Other activity carried out after the 10th period"
"AUTRAC11",1998,"CYACT","Autre activité exercée après la 11ème période","Other activity carried out after the 11th period"
"AUTRAC12",1998,"CYACT","Autre activité exercée après la 12ème période","Other activity carried out after the 12th period"
"AUTRAC13",1998,"CYACT","Autre activité exercée après la 13ème période","Other activity carried out after the 13th period"
"AUTRAC14",1998,"CYACT","Autre activité exercée après la 14ème période","Other activity carried out after the 14th period"
"AUTRAC15",1998,"CYACT","Autre activité exercée après la 15ème période","Other activity carried out after the 15th period"
